"_defaultColorIndex","class","id","name","x","y"
"7","mean","1othu0kv","yolo_val SimCLR bolls 3-View (0,1,2)","0","1"
"7","mean","1othu0kv","yolo_val SimCLR bolls 3-View (0,1,2)","0.01","1"
"7","mean","1othu0kv","yolo_val SimCLR bolls 3-View (0,1,2)","0.02","1"
"7","mean","1othu0kv","yolo_val SimCLR bolls 3-View (0,1,2)","0.03","0.999"
"7","mean","1othu0kv","yolo_val SimCLR bolls 3-View (0,1,2)","0.04","0.998"
"7","mean","1othu0kv","yolo_val SimCLR bolls 3-View (0,1,2)","0.051","0.997"
"7","mean","1othu0kv","yolo_val SimCLR bolls 3-View (0,1,2)","0.061","0.997"
"7","mean","1othu0kv","yolo_val SimCLR bolls 3-View (0,1,2)","0.071","0.997"
"7","mean","1othu0kv","yolo_val SimCLR bolls 3-View (0,1,2)","0.081","0.996"
"7","mean","1othu0kv","yolo_val SimCLR bolls 3-View (0,1,2)","0.091","0.996"
"7","mean","1othu0kv","yolo_val SimCLR bolls 3-View (0,1,2)","0.101","0.996"
"7","mean","1othu0kv","yolo_val SimCLR bolls 3-View (0,1,2)","0.111","0.995"
"7","mean","1othu0kv","yolo_val SimCLR bolls 3-View (0,1,2)","0.121","0.995"
"7","mean","1othu0kv","yolo_val SimCLR bolls 3-View (0,1,2)","0.131","0.994"
"7","mean","1othu0kv","yolo_val SimCLR bolls 3-View (0,1,2)","0.141","0.994"
"7","mean","1othu0kv","yolo_val SimCLR bolls 3-View (0,1,2)","0.152","0.993"
"7","mean","1othu0kv","yolo_val SimCLR bolls 3-View (0,1,2)","0.162","0.992"
"7","mean","1othu0kv","yolo_val SimCLR bolls 3-View (0,1,2)","0.172","0.991"
"7","mean","1othu0kv","yolo_val SimCLR bolls 3-View (0,1,2)","0.182","0.99"
"7","mean","1othu0kv","yolo_val SimCLR bolls 3-View (0,1,2)","0.192","0.989"
"7","mean","1othu0kv","yolo_val SimCLR bolls 3-View (0,1,2)","0.202","0.988"
"7","mean","1othu0kv","yolo_val SimCLR bolls 3-View (0,1,2)","0.212","0.987"
"7","mean","1othu0kv","yolo_val SimCLR bolls 3-View (0,1,2)","0.222","0.986"
"7","mean","1othu0kv","yolo_val SimCLR bolls 3-View (0,1,2)","0.232","0.985"
"7","mean","1othu0kv","yolo_val SimCLR bolls 3-View (0,1,2)","0.242","0.983"
"7","mean","1othu0kv","yolo_val SimCLR bolls 3-View (0,1,2)","0.253","0.982"
"7","mean","1othu0kv","yolo_val SimCLR bolls 3-View (0,1,2)","0.263","0.981"
"7","mean","1othu0kv","yolo_val SimCLR bolls 3-View (0,1,2)","0.273","0.98"
"7","mean","1othu0kv","yolo_val SimCLR bolls 3-View (0,1,2)","0.283","0.978"
"7","mean","1othu0kv","yolo_val SimCLR bolls 3-View (0,1,2)","0.293","0.977"
"7","mean","1othu0kv","yolo_val SimCLR bolls 3-View (0,1,2)","0.303","0.976"
"7","mean","1othu0kv","yolo_val SimCLR bolls 3-View (0,1,2)","0.313","0.975"
"7","mean","1othu0kv","yolo_val SimCLR bolls 3-View (0,1,2)","0.323","0.973"
"7","mean","1othu0kv","yolo_val SimCLR bolls 3-View (0,1,2)","0.333","0.972"
"7","mean","1othu0kv","yolo_val SimCLR bolls 3-View (0,1,2)","0.343","0.971"
"7","mean","1othu0kv","yolo_val SimCLR bolls 3-View (0,1,2)","0.354","0.969"
"7","mean","1othu0kv","yolo_val SimCLR bolls 3-View (0,1,2)","0.364","0.967"
"7","mean","1othu0kv","yolo_val SimCLR bolls 3-View (0,1,2)","0.374","0.964"
"7","mean","1othu0kv","yolo_val SimCLR bolls 3-View (0,1,2)","0.384","0.962"
"7","mean","1othu0kv","yolo_val SimCLR bolls 3-View (0,1,2)","0.394","0.96"
"7","mean","1othu0kv","yolo_val SimCLR bolls 3-View (0,1,2)","0.404","0.957"
"7","mean","1othu0kv","yolo_val SimCLR bolls 3-View (0,1,2)","0.414","0.955"
"7","mean","1othu0kv","yolo_val SimCLR bolls 3-View (0,1,2)","0.424","0.952"
"7","mean","1othu0kv","yolo_val SimCLR bolls 3-View (0,1,2)","0.434","0.95"
"7","mean","1othu0kv","yolo_val SimCLR bolls 3-View (0,1,2)","0.444","0.947"
"7","mean","1othu0kv","yolo_val SimCLR bolls 3-View (0,1,2)","0.455","0.945"
"7","mean","1othu0kv","yolo_val SimCLR bolls 3-View (0,1,2)","0.465","0.942"
"7","mean","1othu0kv","yolo_val SimCLR bolls 3-View (0,1,2)","0.475","0.939"
"7","mean","1othu0kv","yolo_val SimCLR bolls 3-View (0,1,2)","0.485","0.937"
"7","mean","1othu0kv","yolo_val SimCLR bolls 3-View (0,1,2)","0.495","0.934"
"7","mean","1othu0kv","yolo_val SimCLR bolls 3-View (0,1,2)","0.505","0.93"
"7","mean","1othu0kv","yolo_val SimCLR bolls 3-View (0,1,2)","0.515","0.927"
"7","mean","1othu0kv","yolo_val SimCLR bolls 3-View (0,1,2)","0.525","0.922"
"7","mean","1othu0kv","yolo_val SimCLR bolls 3-View (0,1,2)","0.535","0.919"
"7","mean","1othu0kv","yolo_val SimCLR bolls 3-View (0,1,2)","0.545","0.915"
"7","mean","1othu0kv","yolo_val SimCLR bolls 3-View (0,1,2)","0.556","0.91"
"7","mean","1othu0kv","yolo_val SimCLR bolls 3-View (0,1,2)","0.566","0.905"
"7","mean","1othu0kv","yolo_val SimCLR bolls 3-View (0,1,2)","0.576","0.9"
"7","mean","1othu0kv","yolo_val SimCLR bolls 3-View (0,1,2)","0.586","0.894"
"7","mean","1othu0kv","yolo_val SimCLR bolls 3-View (0,1,2)","0.596","0.887"
"7","mean","1othu0kv","yolo_val SimCLR bolls 3-View (0,1,2)","0.606","0.88"
